NAICS,Industry,Total,0-4,5-9,10-19,20-49,50-99,100-249,250-499,500-999
488,Support Activities for Transportation,"110,870","6,706","7,829","10,742","18,024","14,049","15,808","9,147",(2)
491,Postal Service,954,231,188,(2),196,0,(1),0,0
492,Couriers and Messengers,"125,030","1,717","2,233","4,961","8,368","20,400","20,253","13,350","16,441"
493,Warehousing and Storage,"240,690","1,650","3,033","5,290","11,039","13,446","24,674",(2),"37,077"
,,,,,,,,,,
51,Information,"535,018","25,478","19,191","28,048","50,405","50,009","64,367","49,312","53,182"
512,Motion Picture and Sound Recording Industries,"129,724","8,354","3,736","5,040","12,344","13,336","10,391","8,256","5,050"
513,Publishing Industries,"126,675","7,761","6,731","8,614","15,182","12,685","19,762","8,998","12,639"
516,Broadcasting and Content Providers,"82,953","1,977","1,620","3,257","5,769","7,483","10,879","6,657","8,210"
517,Telecommunications,"53,199","2,182","3,334","6,194","8,636","7,411","7,496","6,122","5,257"
518,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services","79,559","4,423","3,248","4,110","7,063","6,957","8,637","8,454",(2)
519,"Web Search Portals, Libraries, Archives, and Other Information Services","62,908",781,522,833,"1,411","2,137","7,202","10,825",(1)
,,,,,,,,,,
52,Finance and Insurance,"496,691","53,806","54,948","61,497","66,366","52,399","71,522","42,535","31,906"
521,Monetary Authorities-Central Bank,"1,679",21,(1),38,137,(1),0,(1),0
522,Credit Intermediation and Related Activities,"194,707","13,181","28,857","34,234","23,724","19,342","27,131","16,699","9,624"
523,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities","103,358","18,147",(2),"11,737","18,475",(2),"14,885",(2),"4,432"
524,Insurance Carriers and Related Activities,"192,764","21,520","15,717","14,842","23,352","20,164","28,875","19,095","17,850"
525,"Funds, Trusts, and Other Financial Vehicles","4,183",937,524,646,678,767,631,0,0
,,,,,,,,,,
53,Real Estate and Rental and Leasing,"305,487","71,935","45,432","43,262","53,556","33,427","33,238","13,886",(2)
531,Real Estate,"238,663","66,300","36,392","31,205","36,266","23,561","25,099","10,959",(2)
532,Rental and Leasing Services,"64,700","5,276","8,637","11,616",(2),(2),"7,726","2,927","1,870"
